agent_id,agent_name,date,calls_handled,avg_call_duration_min,avg_acw_time_min,avg_hold_time_min,transfers,pto_balance_hours,pto_used_this_month,avg_sentiment_score,frustration_keywords_count,avg_pitch_variance,stress_score
AGENT_001,Emma Chen,2025-03-20,46,8.35,5.34,1.71,0,68.5,5.0,0.38,0,9.1,0.43
AGENT_001,Emma Chen,2025-03-21,37,8.74,1.38,5.8,1,73.6,1.9,0.01,0,59.9,0.39
AGENT_001,Emma Chen,2025-03-22,43,6.63,6.43,2.03,4,62.0,2.3,0.73,1,26.5,0.47
AGENT_001,Emma Chen,2025-03-23,40,8.31,7.69,2.15,1,57.8,1.0,0.77,0,28.1,0.48
AGENT_001,Emma Chen,2025-03-24,40,9.89,3.86,2.49,3,79.6,7.9,0.73,0,33.4,0.37
AGENT_001,Emma Chen,2025-03-25,33,9.16,3.82,1.58,4,65.6,4.2,0.89,0,32.5,0.33
AGENT_001,Emma Chen,2025-03-26,41,9.8,8.37,3.42,3,61.2,11.3,0.27,3,68.2,0.61
AGENT_001,Emma Chen,2025-03-27,43,9.45,6.77,3.47,1,63.9,3.3,-0.04,0,13.3,0.57
AGENT_001,Emma Chen,2025-03-28,31,10.23,2.19,5.16,1,68.7,3.1,0.83,2,44.0,0.3
AGENT_001,Emma Chen,2025-03-29,43,8.8,0.07,4.88,5,71.1,8.8,0.02,3,31.3,0.4
AGENT_001,Emma Chen,2025-03-30,47,9.92,3.25,0.79,2,82.8,4.7,-0.06,0,37.5,0.5
AGENT_001,Emma Chen,2025-03-31,43,8.74,4.1,5.84,1,55.9,1.1,0.54,3,98.6,0.48
AGENT_001,Emma Chen,2025-04-01,42,10.9,6.28,3.54,3,55.7,5.1,-0.03,2,11.1,0.57
AGENT_001,Emma Chen,2025-04-02,43,7.14,5.08,2.52,0,63.0,8.5,-0.67,2,36.2,0.72
AGENT_001,Emma Chen,2025-04-03,31,8.38,7.39,-0.07,4,59.7,9.9,0.44,2,73.3,0.49
AGENT_001,Emma Chen,2025-04-04,41,7.88,7.22,2.37,3,55.9,3.9,0.09,1,52.1,0.58
AGENT_001,Emma Chen,2025-04-05,38,8.22,2.71,5.09,3,53.7,11.5,0.1,1,30.0,0.4
AGENT_001,Emma Chen,2025-04-06,43,7.64,1.8,1.96,1,40.5,3.1,-0.02,2,43.8,0.46
AGENT_001,Emma Chen,2025-04-07,37,8.41,7.87,0.2,3,58.7,2.0,0.64,4,33.8,0.53
AGENT_001,Emma Chen,2025-04-08,42,10.37,4.94,2.07,5,51.4,11.0,0.71,2,60.0,0.46
AGENT_001,Emma Chen,2025-04-09,37,7.95,2.76,1.79,3,52.8,0.6,-1.07,4,38.3,0.74
AGENT_001,Emma Chen,2025-04-10,43,10.5,-0.72,1.82,3,57.7,9.7,0.23,4,65.1,0.36
AGENT_001,Emma Chen,2025-04-11,43,10.95,6.23,2.64,3,32.1,8.4,0.08,2,80.5,0.6
AGENT_001,Emma Chen,2025-04-12,41,8.31,2.2,1.9,0,53.7,6.4,0.97,2,17.5,0.33
AGENT_001,Emma Chen,2025-04-13,36,10.9,4.59,4.41,3,48.4,2.7,-0.03,1,71.1,0.52
AGENT_001,Emma Chen,2025-04-14,51,11.75,6.07,2.37,2,38.3,3.9,0.14,2,22.5,0.58
AGENT_002,Marcus Rodriguez,2025-03-01,53,7.59,3.44,1.94,2,61.6,7.4,-0.07,1,-9.8,0.52
AGENT_002,Marcus Rodriguez,2025-03-02,55,5.5,4.56,4.25,1,79.8,5.4,-0.41,2,50.1,0.71
AGENT_002,Marcus Rodriguez,2025-03-03,43,5.9,2.95,2.27,3,85.7,8.1,0.15,1,82.0,0.47
AGENT_002,Marcus Rodriguez,2025-03-04,59,7.33,2.43,2.51,1,66.5,7.8,-0.52,3,68.5,0.72
AGENT_002,Marcus Rodriguez,2025-03-05,47,5.93,3.74,2.18,1,72.4,10.8,0.17,2,24.2,0.48
AGENT_002,Marcus Rodriguez,2025-03-06,52,6.58,4.97,3.21,1,71.7,8.0,0.18,3,63.8,0.58
AGENT_002,Marcus Rodriguez,2025-03-07,45,4.52,1.24,2.87,3,68.0,3.5,-0.25,2,51.7,0.51
AGENT_002,Marcus Rodriguez,2025-03-08,44,6.22,6.51,1.93,4,65.4,9.1,-0.1,5,105.8,0.72
AGENT_002,Marcus Rodriguez,2025-03-09,51,6.79,5.48,5.17,2,74.5,9.5,-0.02,3,34.2,0.62
AGENT_002,Marcus Rodriguez,2025-03-10,55,6.29,6.9,2.19,0,64.7,5.6,0.52,3,23.9,0.57
AGENT_002,Marcus Rodriguez,2025-03-11,55,6.8,2.73,3.23,3,76.6,4.0,0.27,4,34.6,0.5
AGENT_002,Marcus Rodriguez,2025-03-12,43,5.7,7.52,3.4,2,77.8,9.9,0.06,2,20.5,0.6
AGENT_002,Marcus Rodriguez,2025-03-13,55,7.85,7.27,4.31,0,72.6,4.1,-0.47,2,82.4,0.84
AGENT_002,Marcus Rodriguez,2025-03-14,51,9.86,4.09,2.87,5,74.3,11.1,-0.13,6,56.8,0.66
AGENT_002,Marcus Rodriguez,2025-03-15,65,7.31,3.32,2.6,4,64.1,0.1,-0.2,3,3.6,0.65
AGENT_002,Marcus Rodriguez,2025-03-16,47,8.69,3.98,0.55,2,65.8,6.0,0.43,3,41.1,0.45
AGENT_002,Marcus Rodriguez,2025-03-17,43,7.3,2.9,2.55,3,68.5,7.1,0.15,2,44.4,0.45
AGENT_002,Marcus Rodriguez,2025-03-18,65,5.35,7.28,-1.19,0,56.5,6.7,0.03,4,35.7,0.75
AGENT_002,Marcus Rodriguez,2025-03-19,47,6.6,5.47,1.64,2,65.8,2.7,0.4,0,16.8,0.44
AGENT_002,Marcus Rodriguez,2025-03-20,50,6.53,5.5,1.22,2,63.0,2.9,0.4,3,56.1,0.53
AGENT_002,Marcus Rodriguez,2025-03-21,53,6.31,5.15,0.92,4,62.5,9.8,-0.28,2,24.6,0.67
AGENT_002,Marcus Rodriguez,2025-03-22,42,8.79,0.34,5.34,3,62.4,9.2,0.49,2,44.2,0.3
AGENT_002,Marcus Rodriguez,2025-03-23,51,4.63,1.8,3.91,3,60.9,11.8,-0.3,1,47.5,0.56
AGENT_002,Marcus Rodriguez,2025-03-24,40,7.35,8.51,3.88,2,65.8,0.1,0.24,2,69.6,0.61
AGENT_002,Marcus Rodriguez,2025-03-25,49,7.65,5.27,-0.75,2,62.4,7.2,-0.06,2,9.8,0.58
AGENT_002,Marcus Rodriguez,2025-03-26,53,4.58,8.66,2.34,3,61.4,2.6,-0.05,3,48.1,0.75
AGENT_002,Marcus Rodriguez,2025-03-27,49,8.81,3.25,5.52,4,54.7,9.6,-0.23,2,68.2,0.61
AGENT_002,Marcus Rodriguez,2025-03-28,49,7.43,4.86,0.8,3,63.3,9.7,0.6,3,71.6,0.52
AGENT_002,Marcus Rodriguez,2025-03-29,54,6.84,5.39,2.48,4,57.0,10.1,0.48,0,32.1,0.49
AGENT_002,Marcus Rodriguez,2025-03-30,41,7.28,2.42,4.72,2,57.9,3.8,0.66,4,49.9,0.39
AGENT_002,Marcus Rodriguez,2025-03-31,54,6.74,6.95,1.77,2,36.1,7.5,-0.01,2,81.3,0.71
AGENT_002,Marcus Rodriguez,2025-04-01,48,5.72,2.49,1.22,0,45.5,8.2,0.49,3,39.7,0.41
AGENT_002,Marcus Rodriguez,2025-04-02,50,7.27,5.08,6.48,2,50.2,2.6,0.34,1,29.4,0.48
AGENT_002,Marcus Rodriguez,2025-04-03,47,5.27,6.09,4.37,3,50.6,2.7,0.22,2,7.1,0.52
AGENT_002,Marcus Rodriguez,2025-04-04,47,7.38,5.59,4.43,1,53.6,4.9,-0.33,2,26.7,0.66
AGENT_002,Marcus Rodriguez,2025-04-05,54,5.41,-2.46,1.49,4,54.7,4.2,0.39,6,91.2,0.37
AGENT_002,Marcus Rodriguez,2025-04-06,53,7.71,6.52,5.1,2,55.0,10.6,0.09,2,48.7,0.64
AGENT_002,Marcus Rodriguez,2025-04-07,52,7.16,4.05,2.81,4,38.5,11.8,-0.33,3,63.7,0.68
AGENT_002,Marcus Rodriguez,2025-04-08,51,8.58,4.31,3.22,3,51.1,1.2,0.21,0,55.2,0.51
AGENT_002,Marcus Rodriguez,2025-04-09,56,5.45,4.77,1.75,4,36.6,0.5,0.28,0,31.9,0.51
AGENT_002,Marcus Rodriguez,2025-04-10,59,6.6,3.39,5.62,0,30.4,2.0,0.38,1,69.7,0.5
AGENT_002,Marcus Rodriguez,2025-04-11,56,8.26,4.06,1.08,2,52.3,7.7,-0.38,4,27.7,0.7
AGENT_002,Marcus Rodriguez,2025-04-12,50,6.41,6.4,2.29,3,46.2,2.2,0.27,4,56.4,0.6
AGENT_002,Marcus Rodriguez,2025-04-13,57,7.27,2.44,2.73,3,39.5,5.2,0.14,0,9.2,0.46
AGENT_002,Marcus Rodriguez,2025-04-14,40,7.36,3.23,4.29,2,44.6,0.9,-0.01,4,-15.6,0.46
AGENT_003,Aisha Patel,2025-03-01,40,8.73,1.55,2.67,4,74.7,11.3,0.17,1,25.5,0.36
AGENT_003,Aisha Patel,2025-03-02,39,9.96,5.76,1.33,3,80.3,1.5,0.22,5,67.0,0.56
AGENT_003,Aisha Patel,2025-03-03,45,10.24,8.73,2.49,6,87.8,9.4,-0.05,1,44.4,0.68
AGENT_003,Aisha Patel,2025-03-04,45,10.55,3.9,6.05,0,86.0,5.6,0.35,1,54.4,0.44
AGENT_003,Aisha Patel,2025-03-05,34,10.11,3.52,7.44,2,70.7,2.6,-0.32,3,35.7,0.54
AGENT_003,Aisha Patel,2025-03-06,44,9.91,6.25,3.95,7,78.8,6.2,0.01,4,46.9,0.62
AGENT_003,Aisha Patel,2025-03-07,34,6.81,6.99,2.61,4,69.5,4.9,0.73,2,76.9,0.49
AGENT_003,Aisha Patel,2025-03-08,41,7.79,4.1,1.53,5,88.8,8.0,0.24,3,27.2,0.45
AGENT_003,Aisha Patel,2025-03-09,52,10.52,1.69,1.97,3,71.2,5.3,-0.06,2,-3.8,0.47
AGENT_003,Aisha Patel,2025-03-10,45,8.81,3.02,0.84,5,60.0,4.3,0.67,4,49.4,0.43
AGENT_003,Aisha Patel,2025-03-11,40,8.13,4.8,2.08,2,67.7,1.1,0.22,4,22.6,0.48
AGENT_003,Aisha Patel,2025-03-12,32,9.28,0.26,3.24,1,71.9,1.6,-0.11,2,57.6,0.38
AGENT_003,Aisha Patel,2025-03-13,46,7.21,4.4,3.09,3,71.7,9.2,0.22,6,38.5,0.54
AGENT_003,Aisha Patel,2025-03-14,44,7.34,6.1,2.2,2,65.5,1.3,0.58,6,62.4,0.56
AGENT_003,Aisha Patel,2025-03-15,47,7.07,6.72,0.61,4,85.0,4.6,0.92,2,72.8,0.55
AGENT_003,Aisha Patel,2025-03-16,34,9.05,7.04,3.85,7,68.3,11.4,0.18,2,15.5,0.5
AGENT_003,Aisha Patel,2025-03-17,51,9.06,4.86,5.53,2,77.3,10.8,-0.27,2,83.3,0.69
AGENT_003,Aisha Patel,2025-03-18,44,7.34,8.6,3.22,3,72.6,7.0,0.24,4,33.0,0.63
AGENT_003,Aisha Patel,2025-03-19,43,9.15,3.34,1.46,2,69.8,11.0,-0.14,3,41.2,0.55
AGENT_003,Aisha Patel,2025-03-20,57,9.17,5.66,4.54,2,56.1,10.9,0.26,1,82.7,0.6
AGENT_003,Aisha Patel,2025-03-21,46,9.22,6.56,3.65,2,67.5,5.1,-0.01,3,30.3,0.62
AGENT_003,Aisha Patel,2025-03-22,35,7.78,5.62,1.02,4,52.4,0.7,-0.0,3,27.7,0.53
AGENT_003,Aisha Patel,2025-03-23,48,8.05,1.2,4.37,3,64.4,3.2,0.55,2,87.9,0.4
AGENT_003,Aisha Patel,2025-03-24,35,11.17,5.49,4.25,3,56.8,3.3,0.74,2,66.8,0.44
AGENT_003,Aisha Patel,2025-03-25,41,8.04,0.6,1.86,1,62.1,11.5,0.61,1,62.4,0.31
AGENT_003,Aisha Patel,2025-03-26,49,8.31,4.46,3.38,1,57.7,11.7,-0.11,1,64.7,0.6
AGENT_003,Aisha Patel,2025-03-27,46,7.85,5.1,4.3,1,59.4,0.8,0.05,2,34.8,0.55
AGENT_003,Aisha Patel,2025-03-28,42,6.74,3.4,4.02,3,54.2,6.9,-0.55,3,75.5,0.67
AGENT_003,Aisha Patel,2025-03-29,44,11.08,3.09,3.45,3,53.4,3.9,0.4,3,48.0,0.41
AGENT_003,Aisha Patel,2025-03-30,38,9.79,2.9,3.33,4,29.7,2.8,0.23,4,20.8,0.41
AGENT_003,Aisha Patel,2025-03-31,42,8.4,1.88,0.46,1,58.2,2.5,0.72,2,42.5,0.35
AGENT_003,Aisha Patel,2025-04-01,37,9.7,5.6,1.42,5,66.0,2.7,-0.11,3,27.5,0.56
AGENT_003,Aisha Patel,2025-04-02,39,10.27,1.95,4.82,0,76.0,2.1,0.3,1,42.5,0.35
AGENT_003,Aisha Patel,2025-04-03,50,8.21,8.0,3.99,3,44.1,3.9,0.3,1,71.9,0.62
AGENT_003,Aisha Patel,2025-04-04,41,8.15,6.13,0.84,0,52.8,1.8,0.41,5,14.0,0.49
AGENT_003,Aisha Patel,2025-04-05,43,7.8,4.1,2.23,2,53.2,9.4,0.14,2,77.8,0.52
AGENT_003,Aisha Patel,2025-04-06,41,9.84,4.44,3.19,4,61.0,9.6,-0.7,6,49.6,0.75
AGENT_003,Aisha Patel,2025-04-07,49,8.9,4.25,1.72,3,43.6,10.8,-0.09,2,62.7,0.6
AGENT_003,Aisha Patel,2025-04-08,36,7.62,6.42,2.72,1,46.6,5.7,0.14,3,19.6,0.52
AGENT_003,Aisha Patel,2025-04-09,37,8.91,6.22,-0.39,1,45.8,3.3,0.22,1,57.8,0.5
AGENT_003,Aisha Patel,2025-04-10,46,8.24,5.1,0.31,1,52.8,11.7,0.28,1,85.0,0.52
AGENT_003,Aisha Patel,2025-04-11,48,7.71,5.09,0.22,2,49.7,8.2,-0.27,3,44.0,0.66
AGENT_003,Aisha Patel,2025-04-12,36,8.97,6.5,3.11,1,44.5,6.7,0.36,2,64.2,0.49
AGENT_003,Aisha Patel,2025-04-13,44,9.65,6.7,1.51,3,55.1,8.3,0.39,4,-10.3,0.49
AGENT_003,Aisha Patel,2025-04-14,46,9.63,6.75,3.98,2,54.6,6.0,0.05,3,21.5,0.6
AGENT_004,Tyler Brooks,2025-03-01,46,7.05,4.86,1.55,6,77.6,0.8,0.69,4,95.2,0.53
AGENT_004,Tyler Brooks,2025-03-02,39,9.31,6.73,1.83,4,84.7,6.2,-0.25,2,40.2,0.64
AGENT_004,Tyler Brooks,2025-03-03,42,6.1,4.88,3.67,5,69.8,9.4,0.07,4,21.0,0.53
AGENT_004,Tyler Brooks,2025-03-04,31,6.33,3.44,3.96,0,79.0,11.3,-0.01,4,5.1,0.43
AGENT_004,Tyler Brooks,2025-03-05,33,7.68,4.91,2.23,0,75.5,8.8,-0.06,2,56.7,0.52
AGENT_004,Tyler Brooks,2025-03-06,42,7.88,2.55,1.46,3,74.2,3.0,0.47,2,24.9,0.35
AGENT_004,Tyler Brooks,2025-03-07,36,7.72,4.7,1.1,0,67.0,10.8,0.17,1,57.9,0.46
AGENT_004,Tyler Brooks,2025-03-08,30,7.1,6.09,0.92,3,63.5,5.6,0.18,1,53.7,0.47
AGENT_004,Tyler Brooks,2025-03-09,37,7.09,5.77,2.13,4,94.9,1.4,0.3,0,62.3,0.46
AGENT_004,Tyler Brooks,2025-03-10,42,9.91,4.33,1.56,1,72.3,11.3,0.3,3,67.6,0.48
AGENT_004,Tyler Brooks,2025-03-11,40,6.86,4.13,4.86,2,65.6,2.0,0.56,4,25.8,0.42
AGENT_004,Tyler Brooks,2025-03-12,38,5.86,6.27,2.68,2,96.7,1.3,0.51,3,57.6,0.49
AGENT_004,Tyler Brooks,2025-03-13,29,7.98,5.23,4.85,4,74.7,4.8,0.17,3,66.3,0.47
AGENT_004,Tyler Brooks,2025-03-14,37,7.25,2.59,3.44,6,61.1,1.0,0.22,6,51.0,0.45
AGENT_004,Tyler Brooks,2025-03-15,38,8.92,6.87,6.68,3,71.4,1.0,-0.13,5,59.9,0.67
AGENT_004,Tyler Brooks,2025-03-16,39,9.31,4.32,-0.56,2,75.9,2.1,0.44,1,58.7,0.41
AGENT_004,Tyler Brooks,2025-03-17,37,6.63,7.73,2.32,4,79.4,4.2,0.11,2,75.6,0.6
AGENT_004,Tyler Brooks,2025-03-18,32,9.16,3.57,3.1,3,64.3,2.7,-0.03,3,64.4,0.48
AGENT_004,Tyler Brooks,2025-03-19,46,6.16,5.95,3.8,1,72.3,10.9,0.39,1,92.5,0.53
AGENT_004,Tyler Brooks,2025-03-20,46,7.59,0.15,4.07,2,64.1,8.9,0.07,5,55.5,0.45
AGENT_004,Tyler Brooks,2025-03-21,45,7.11,5.82,2.22,3,58.8,6.5,0.07,0,36.3,0.54
AGENT_004,Tyler Brooks,2025-03-22,28,7.38,1.29,3.97,4,56.3,0.6,0.48,2,87.8,0.29
AGENT_004,Tyler Brooks,2025-03-23,44,6.96,4.67,2.1,1,62.7,10.0,-0.17,2,51.0,0.6
AGENT_004,Tyler Brooks,2025-03-24,43,10.96,0.88,1.77,5,58.8,7.2,0.1,4,68.8,0.44
AGENT_004,Tyler Brooks,2025-03-25,34,7.77,3.99,-0.8,3,61.9,7.2,0.17,1,87.4,0.45
AGENT_004,Tyler Brooks,2025-03-26,35,6.15,3.28,2.74,2,54.5,11.7,0.07,2,-6.7,0.4
AGENT_004,Tyler Brooks,2025-03-27,40,5.99,3.88,1.67,3,69.9,6.2,0.28,1,40.5,0.42
AGENT_004,Tyler Brooks,2025-03-28,34,8.06,4.71,-0.44,2,67.0,8.4,-0.1,4,7.2,0.51
AGENT_004,Tyler Brooks,2025-03-29,45,7.09,4.79,1.88,1,60.3,4.6,-0.6,1,27.0,0.68
AGENT_004,Tyler Brooks,2025-03-30,39,7.83,4.05,1.82,3,60.3,8.1,0.56,0,1.7,0.34
AGENT_004,Tyler Brooks,2025-03-31,44,8.02,6.41,3.23,2,58.9,10.8,0.17,1,26.4,0.53
AGENT_004,Tyler Brooks,2025-04-01,29,6.96,9.86,2.07,0,61.1,8.8,0.49,3,55.7,0.55
AGENT_004,Tyler Brooks,2025-04-02,46,6.93,7.28,2.42,3,56.5,11.0,-0.49,4,27.7,0.77
AGENT_004,Tyler Brooks,2025-04-03,33,7.24,2.29,2.48,2,59.8,1.9,0.17,2,41.0,0.37
AGENT_004,Tyler Brooks,2025-04-04,29,6.77,6.43,5.22,1,48.1,11.9,0.81,1,33.4,0.4
AGENT_004,Tyler Brooks,2025-04-05,40,7.17,4.3,3.41,1,49.1,0.3,0.06,2,85.0,0.53
AGENT_004,Tyler Brooks,2025-04-06,39,8.01,4.98,4.16,0,39.3,4.1,-0.27,5,48.6,0.64
AGENT_004,Tyler Brooks,2025-04-07,35,6.99,4.16,2.09,0,56.4,7.0,0.09,5,17.3,0.48
AGENT_004,Tyler Brooks,2025-04-08,51,9.09,3.6,0.89,2,45.1,6.5,0.24,2,56.7,0.5
AGENT_004,Tyler Brooks,2025-04-09,37,8.07,3.17,4.11,2,39.4,11.8,0.54,2,43.7,0.36
AGENT_004,Tyler Brooks,2025-04-10,43,6.87,4.98,-0.83,7,45.8,10.4,0.13,4,52.1,0.55
AGENT_004,Tyler Brooks,2025-04-11,46,7.49,4.23,4.31,6,48.7,11.1,0.14,3,35.3,0.52
AGENT_004,Tyler Brooks,2025-04-12,34,6.08,3.25,4.09,4,50.5,3.5,0.33,3,62.9,0.39
AGENT_004,Tyler Brooks,2025-04-13,43,8.28,2.97,3.12,1,45.4,4.9,-0.09,1,41.4,0.5
AGENT_004,Tyler Brooks,2025-04-14,28,7.99,4.5,1.57,3,52.3,0.6,0.09,1,27.3,0.41
AGENT_005,Sofia Morales,2025-03-01,38,6.87,4.62,2.29,3,89.6,2.6,0.67,3,33.0,0.42
AGENT_005,Sofia Morales,2025-03-02,42,9.25,5.35,6.13,0,77.5,3.6,0.33,2,1.5,0.44
AGENT_005,Sofia Morales,2025-03-03,34,7.31,2.57,4.2,1,76.7,2.3,0.4,4,68.3,0.37
AGENT_005,Sofia Morales,2025-03-04,42,6.44,4.92,4.39,0,68.1,11.2,-0.11,0,53.5,0.55
AGENT_005,Sofia Morales,2025-03-05,45,7.84,5.42,4.16,2,71.9,10.5,-0.05,3,24.2,0.58
AGENT_005,Sofia Morales,2025-03-06,54,7.21,-0.35,2.75,2,84.9,1.3,0.59,0,60.8,0.33
AGENT_005,Sofia Morales,2025-03-07,39,8.1,0.17,4.81,1,86.5,10.4,0.44,2,77.7,0.31
AGENT_005,Sofia Morales,2025-03-08,45,7.51,5.24,1.92,2,90.1,7.0,0.5,2,57.9,0.48
AGENT_005,Sofia Morales,2025-03-09,34,8.65,4.85,2.92,3,71.4,3.2,0.37,0,54.2,0.39
AGENT_005,Sofia Morales,2025-03-10,49,7.04,1.11,2.31,2,70.1,10.3,-0.12,2,48.4,0.5
AGENT_005,Sofia Morales,2025-03-11,29,6.83,6.99,1.56,3,62.2,6.8,0.81,6,64.7,0.51
AGENT_005,Sofia Morales,2025-03-12,38,7.23,5.1,3.65,3,76.3,5.7,0.21,3,33.9,0.48
AGENT_005,Sofia Morales,2025-03-13,48,9.32,7.44,3.29,3,63.5,7.4,-0.25,3,21.5,0.71
AGENT_005,Sofia Morales,2025-03-14,47,8.32,4.2,3.42,3,83.6,0.7,0.54,3,72.8,0.49
AGENT_005,Sofia Morales,2025-03-15,30,6.84,3.1,4.68,3,70.3,9.1,-0.31,5,49.8,0.54
AGENT_005,Sofia Morales,2025-03-16,26,8.42,2.98,3.26,2,86.2,4.9,0.16,3,60.6,0.38
AGENT_005,Sofia Morales,2025-03-17,36,9.28,2.83,5.17,4,64.7,9.3,-0.22,8,26.3,0.56
AGENT_005,Sofia Morales,2025-03-18,49,7.98,4.62,0.82,2,72.5,2.9,0.46,0,39.6,0.44
AGENT_005,Sofia Morales,2025-03-19,61,5.95,9.01,2.34,2,60.2,3.3,0.59,5,-2.9,0.67
AGENT_005,Sofia Morales,2025-03-20,43,8.49,5.38,1.5,2,53.1,8.6,-0.53,2,87.2,0.73
AGENT_005,Sofia Morales,2025-03-21,46,7.52,3.87,4.45,3,68.3,10.7,-0.35,1,50.3,0.61
AGENT_005,Sofia Morales,2025-03-22,38,7.81,1.74,4.88,4,60.3,5.5,-0.08,3,75.3,0.48
AGENT_005,Sofia Morales,2025-03-23,43,7.49,6.41,-0.51,6,69.3,0.7,0.63,1,23.9,0.47
AGENT_005,Sofia Morales,2025-03-24,40,7.44,3.31,1.35,4,72.3,5.0,0.36,3,79.9,0.44
AGENT_005,Sofia Morales,2025-03-25,38,6.72,5.91,1.67,1,61.9,4.6,0.67,0,32.4,0.42
AGENT_005,Sofia Morales,2025-03-26,41,5.6,6.05,0.71,0,57.6,11.4,-0.17,3,53.3,0.64
AGENT_005,Sofia Morales,2025-03-27,40,8.24,3.79,2.23,2,66.7,0.4,0.37,1,17.2,0.37
AGENT_005,Sofia Morales,2025-03-28,45,9.07,7.77,-0.42,2,42.7,6.1,0.43,0,39.5,0.52
AGENT_005,Sofia Morales,2025-03-29,38,8.06,5.47,4.67,3,81.0,8.5,0.95,2,93.2,0.48
AGENT_005,Sofia Morales,2025-03-30,43,7.34,5.66,4.32,0,64.9,9.8,-0.12,5,45.1,0.64
AGENT_005,Sofia Morales,2025-03-31,38,7.2,4.39,2.44,2,45.8,11.2,0.5,2,40.4,0.4
AGENT_005,Sofia Morales,2025-04-01,39,6.97,3.48,3.12,2,45.2,11.8,0.4,2,66.4,0.4
AGENT_005,Sofia Morales,2025-04-02,43,7.5,5.31,2.74,3,46.9,11.7,-0.32,2,51.0,0.65
AGENT_005,Sofia Morales,2025-04-03,42,6.86,7.91,2.98,4,70.5,8.3,0.25,2,18.3,0.55
AGENT_005,Sofia Morales,2025-04-04,51,6.95,2.73,2.66,6,59.0,8.4,0.5,4,-5.2,0.41
AGENT_005,Sofia Morales,2025-04-05,40,6.5,1.91,3.56,3,62.4,4.5,0.2,4,32.5,0.4
AGENT_005,Sofia Morales,2025-04-06,45,9.45,2.84,3.85,2,68.0,8.9,0.4,1,36.9,0.38
AGENT_005,Sofia Morales,2025-04-07,42,8.06,-1.14,3.67,5,54.7,8.4,0.36,1,16.8,0.23
AGENT_005,Sofia Morales,2025-04-08,35,5.45,5.42,0.78,0,59.8,4.0,0.06,3,67.3,0.54
AGENT_005,Sofia Morales,2025-04-09,30,7.81,3.71,5.0,3,44.1,4.0,0.0,5,79.1,0.51
AGENT_005,Sofia Morales,2025-04-10,38,9.38,7.5,2.8,1,51.4,7.1,-0.13,0,-15.8,0.56
AGENT_005,Sofia Morales,2025-04-11,36,6.62,5.97,2.56,3,39.2,9.4,0.43,2,58.7,0.46
AGENT_005,Sofia Morales,2025-04-12,40,8.64,1.25,3.33,2,47.6,10.5,-0.02,4,59.2,0.46
AGENT_005,Sofia Morales,2025-04-13,36,6.39,3.55,4.35,5,46.4,10.6,-0.03,1,-6.9,0.42
AGENT_005,Sofia Morales,2025-04-14,38,5.5,7.69,1.84,2,25.5,5.2,0.37,3,55.3,0.54
